run_id,rotor_id,fault_time,fault_severity
0,0,26369786,0.4058130785671507
0,1,24255255,0.29840943415310167
0,2,21334892,0.43612966100142403
0,3,22096055,0.3745382402908961
1,0,52471677,0.6836928592549367
1,1,52912465,0.3658829666834262
1,2,52072659,0.43281648593062483
1,3,50460000,0.4397167971647888
2,0,81664807,0.29594399477306604
2,1,79189759,0.35011856190719387
2,2,80926544,0.4185963980535737
2,3,81572973,0.3191236434874072
3,0,109716865,0.3261982202976944
3,1,107959321,0.4769857992117772
3,2,109717287,0.6911734378409919
3,3,106236377,0.24832967988275398
4,0,136732805,0.4494170456755057
4,1,134132155,0.5641267771842273
4,2,133874303,0.3833606454311344
4,3,134506615,0.5834638693872154
5,0,301250489,0.386739777341296
5,1,304567314,0.4458169108529694
5,2,303283659,0.2977939253151986
5,3,299351301,0.6743659962552229
6,0,328371163,0.43063139728678923
6,1,330016055,0.2780709241207257
6,2,327951222,0.5639354896786649
6,3,332920730,0.4725826474166703
7,0,360149111,0.24919945733465543
7,1,355948876,0.6013179569454725
7,2,360740973,0.40980990807342765
7,3,357880294,0.3889680528430596
8,0,382530253,0.40883360782884887
8,1,388161681,0.6434435287441349
8,2,386390083,0.46632015711249786
8,3,386656840,0.3150303508911888
9,0,414221427,0.5290796514304644
9,1,415006827,0.24859994819486772
9,2,414212350,0.34105677285128044
9,3,411725486,0.22184105183813005
10,0,460234048,0.5075218709179448
10,1,459135025,0.45601151865456757
10,2,458717919,0.6222569026378922
10,3,460290963,0.4962142497470154
11,0,490906078,0.2400015285986451
11,1,486369025,0.37868278864921356
11,2,491269952,0.2800797396016979
11,3,486189061,0.3975256610457103
12,0,517611431,0.2682231626041351
12,1,517770596,0.4000966721862939
12,2,513513139,0.5011327371509289
12,3,516441959,0.49241215460018295
13,0,543564206,0.5751083986687833
13,1,541659206,0.321989928468825
13,2,541352319,0.2251354664010407
13,3,545029155,0.5330641494543411
14,0,570892570,0.4894698131485862
14,1,569922468,0.5066881140412607
14,2,570941179,0.6077652920019572
14,3,569171898,0.45256953998786487
15,0,605382000,0.5276337031488787
15,1,605464795,0.6477975336000226
15,2,608335458,0.5786384482532192
15,3,606312529,0.2916652299802415
16,0,633685857,0.42325620436277406
16,1,630591497,0.36240940818357914
16,2,631128270,0.25299705469059536
16,3,635807346,0.2496265290287607
17,0,659491324,0.3618460160187358
17,1,659499497,0.35602155092960364
17,2,659336662,0.4968098253148726
17,3,663180083,0.5867431976098808
18,0,687621444,0.33636404105396633
18,1,689871969,0.42716529086008037
18,2,691018986,0.39887097230356655
18,3,689708069,0.49607868128581406
19,0,715706913,0.3503337828421281
19,1,715119049,0.3041988718957403
19,2,714315075,0.43335090085838773
19,3,714828561,0.39277447320048237
20,0,947320409,0.386534786860682
20,1,947145903,0.24844084245433548
20,2,948342402,0.366282785996978
20,3,951064395,0.43118289761360334
21,0,975438297,0.30353777926710257
21,1,973317605,0.4276839694486171
21,2,973115700,0.7135406136299569
21,3,974973184,0.4297956085377696
22,0,1000239853,0.2534450240713504
22,1,999533620,0.28646292443976185
22,2,1004313460,0.47493164189851705
22,3,1002823542,0.5121958386755117
23,0,1031536704,0.5833925171150702
23,1,1028659147,0.3400390984305933
23,2,1030654218,0.5179777955262949
23,3,1027212766,0.7520409217544397
24,0,1055806316,0.5447886841911103
24,1,1056895430,0.32345107203111906
24,2,1054109310,0.35559038639151686
24,3,1056954062,0.589853579062838
25,0,1145777521,0.32016015630034206
25,1,1146285099,0.22586475108518006
25,2,1143961100,0.246144215293692
25,3,1147738575,0.41588282390340536
26,0,1176860410,0.5291212080893015
26,1,1177069492,0.2791123533402866
26,2,1174069407,0.5412478818469795
26,3,1174395380,0.2558042928380199
27,0,1201038702,0.7554061705054018
27,1,1200098399,0.4810870088691338
27,2,1200658237,0.2855301677199784
27,3,1201212784,0.47129379198685506
28,0,1228872728,0.7158963815535953
28,1,1230627114,0.49952332364727453
28,2,1229092632,0.33980898746008203
28,3,1231991040,0.260188144415472
29,0,1260321924,0.4298334292442922
29,1,1257484503,0.40781565411981013
29,2,1256213116,0.46383209152255733
29,3,1258421397,0.7297786613580299
30,0,1293833592,0.5388792524362898
30,1,1293338659,0.6023080190891392
30,2,1295017261,0.40037352489457323
30,3,1294670809,0.46605816898960906
31,0,1324289147,0.3214757322342669
31,1,1324785026,0.39073536373900924
31,2,1326266186,0.5597685091558091
31,3,1322420857,0.35600635633737754
32,0,1353008330,0.42821178999790943
32,1,1354545964,0.45357344225269575
32,2,1352045293,0.40357561682598614
32,3,1350103316,0.2893605457657696
33,0,1378196114,0.3404058323438814
33,1,1381170270,0.7807132781536852
33,2,1380201774,0.2725683491431386
33,3,1380653633,0.5873226548917949
34,0,1407584373,0.45748073735124806
34,1,1407309877,0.6754856060333255
34,2,1407918360,0.5222998771308778
34,3,1408177313,0.4177367347871592
35,0,1456015130,0.4376246921005494
35,1,1456166056,0.26188752472036186
35,2,1451018844,0.5973870385524462
35,3,1452130753,0.43434753666461656
36,0,1482011274,0.4358869508624837
36,1,1479005524,0.4432283276021969
36,2,1481548724,0.6202836235135131
36,3,1482207596,0.36637837064886014
37,0,1511256120,0.2460008536632812
37,1,1509221028,0.3930585516242241
37,2,1507920452,0.4784268613134541
37,3,1509665763,0.30432186610216794
38,0,1538370733,0.26540708660140755
38,1,1535461595,0.4540108056133738
38,2,1536068954,0.5886847934928978
38,3,1535126791,0.5487186126932604
39,0,1566733662,0.29652905251882633
39,1,1565131782,0.4801646620078541
39,2,1563422106,0.4351060385033646
39,3,1567283672,0.526798896707509
40,0,1629892081,0.3950669638027583
40,1,1631478260,0.253411581059954
40,2,1628401125,0.5806403217260561
40,3,1632586395,0.37083839288196635
41,0,1658409135,0.31808488333936047
41,1,1657215535,0.7328149607949135
41,2,1661935659,0.3197813140315336
41,3,1660029561,0.2787217636436359
42,0,1687752682,0.41373092084760654
42,1,1686927821,0.47908716587204864
42,2,1685261645,0.3986851865088151
42,3,1688498494,0.3955309117904313
43,0,1714245700,0.45617539017265324
43,1,1715888761,0.4731797385299535
43,2,1712776461,0.41121698967412024
43,3,1716951075,0.47270607826577254
44,0,1742480720,0.795744324698695
44,1,1741890616,0.36855137113391173
44,2,1745540059,0.258338090017871
44,3,1742896275,0.4426919956698055
45,0,1814123020,0.4607860939190036
45,1,1816675792,0.5401725619086928
45,2,1816203388,0.38139515807203245
45,3,1817205728,0.4589125116157478
46,0,1841844431,0.4250265031189703
46,1,1841102058,0.7377897603171568
46,2,1845119780,0.347527606537802
46,3,1844760564,0.24536354518338
47,0,1873510357,0.5485324425311191
47,1,1874202797,0.4285730714024618
47,2,1869639010,0.37072969094257785
47,3,1873826350,0.3781216578495334
48,0,1899832087,0.3624235958002786
48,1,1896656400,0.40562477897364974
48,2,1901196778,0.4609607160881894
48,3,1899205977,0.3548764608912737
49,0,1929075204,0.30320896903257744
49,1,1928306794,0.3884190087445477
49,2,1924475440,0.4324486467848852
49,3,1925040051,0.24958850790874376
50,0,1999756407,0.33257999917094916
50,1,1999492111,0.5127224965982847
50,2,2003968003,0.42754895127982767
50,3,2003456240,0.29299919850102485
51,0,2031187074,0.808225086991303
51,1,2030121982,0.39764817167466004
51,2,2031747107,0.3211367493371786
51,3,2030382400,0.38694190469467893
52,0,2058277191,0.2893184117550516
52,1,2055620122,0.47350550773875766
52,2,2058163326,0.4601680474719538
52,3,2059315603,0.3343562471389865
53,0,2082034902,0.32879645191955653
53,1,2081843552,0.48955480197550066
53,2,2085491641,0.25053147831056394
53,3,2083062173,0.6017272384991041
54,0,2112200603,0.40938796449048925
54,1,2112954178,0.3991388984197414
54,2,2113004957,0.2676144809069644
54,3,2112850182,0.3557892182207959
55,0,35497617,0.21640585494128758
55,1,36285457,0.3384975054587399
55,2,34445353,0.29356437797587587
55,3,37236672,0.38384475355649794
56,0,66862038,0.3200966733458515
56,1,65801521,0.396887024218401
56,2,68124500,0.5945441372728621
56,3,64408956,0.46270663332686895
57,0,94767404,0.2894153254537911
57,1,94468664,0.5201987327395483
57,2,92221093,0.35792903739411003
57,3,93202574,0.45947942968742866
58,0,119959995,0.5047082120892771
58,1,121836867,0.32682590252710064
58,2,123023465,0.4797077407797852
58,3,121960436,0.27089905554044713
59,0,149006378,0.39817867104588867
59,1,151425594,0.3637840700240002
59,2,151232199,0.23941439942721787
59,3,147812170,0.3796578018274671
60,0,53610330,0.6794485523498515
60,1,55217894,0.4713956407792972
60,2,54141984,0.520497680945386
60,3,51558186,0.6037564589737945
61,0,79222882,0.754137645060577
61,1,83260489,0.41195392426359473
61,2,80417807,0.4119823406990857
61,3,81002935,0.30769224620585484
62,0,107904681,0.4871811612765846
62,1,109928515,0.546421149991246
62,2,113114645,0.26774892056940175
62,3,112875177,0.5273562332824491
63,0,39397689,0.37879927617365317
63,1,37389691,0.836834182200368
63,2,37230841,0.41938241587536984
63,3,33992724,0.6416110551586924
64,0,67935574,0.2551935229325271
64,1,65954799,0.27633165206840377
64,2,64466331,0.5039387431748099
64,3,66803497,0.3516249773170659
65,0,94240971,0.47793948144244275
65,1,92470897,0.5671565396584657
65,2,93802654,0.5716536616103904
65,3,95480619,0.2944299381665455
66,0,122066080,0.43777734223413733
66,1,122885566,0.32843121479086673
66,2,122401709,0.4562612357158708
66,3,121108321,0.40114068498899197
67,0,152954265,0.6008903173717492
67,1,150120897,0.32593373998459463
67,2,151290403,0.5392216955700712
67,3,153290544,0.39970053704069747
68,0,251788658,0.3496871597652173
68,1,250850240,0.4241554963083267
68,2,249869768,0.44152757195156156
